TIC ID,Linked TIC ID,TOI ID,t_zero_1,width_1,depth_1,t_zero_2,width_2,depth_2,RA (decimal deg),Dec (decimal deg),Sector of first transit,Sector of second transit,T0 (BTJD),T0_uncertainty (days),Period (days),Period_uncertainty (days),Duration (hrs),Duration_uncertainty (hrs),Depth (ppm),Depth_uncertainty (ppm),R_planet (R_Earth),Active_Aliases,NGTS data? /comment,Recent TESS sectors -check LC,Upcoming TESS sectors,RV - Solène notes,Published?,Simbad,Papers
7145074,7145074,-,2459111.52,0.2271715,0.0067130723,2460185.155,0.18373427,0.00674057,4.513184274,-43.40958154,29,68,2111.52,0.00046,1073.635,0.00069,0.22717,0.02871,6713,49.66498,20.0159,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46",yes,96 - ANOTHER TRANSIT !!,"103,104,105,106","WINE follow-up (FEROS 18, HARPS 31)",,Star,"Kordopatis+2013 [2013AJ....146..134K],Munari+2014 [2014AJ....148...81M],Kunder+2017 [2017AJ....153...75K],Steinmetz+2020 [2020AJ....160...83S]"
20904104,20904104,-,2458390.178,0.30561772,0.0009678006,2459105.339,0.15087725,0.0013742447,7.413684822,-19.36625377,3,29,1390.178,0.00078,715.161,0.00131,0.30562,0.05199,968,7.80773,2.41271,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43",yes,-,-,3 CORALIE vetting passed. if period is solved we could continue the RV follow-up,,Star,"Kordopatis+2013 [2013AJ....146..134K],Kunder+2017 [2017AJ....153...75K],Ruiz-Dern+2018 [2018A&A...609A.116R],Ratzenböck+2020 [2020A&A...639A..64R],Steinmetz+2020 [2020AJ....160...83S]"
22317640,22317640,-,2458589.378,0.1718912471,0.01121437078,2460064.808,0.1946916101,0.01201410494,183.9093228,-47.19813113,10,64,1589.378,0.00041,1475.43,0.00054,0.17189,0.05483,11214,86.21509,12.03593,"1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47",yes,-,"99,100,101,112,113","WINE (FEROS 5, HARPS 13 from 2022)",,Star,Malik+2025 [2025AJ....170...39M]
32179255,32179255,-,2458345.879,0.09619184,0.0038824081,2459068.458,0.1152742,0.004625479,332.0396381,-29.60929867,1,28,1345.879,0.00004,722.579,0.00025,0.09619,0.00293,3882,14.16812,11.56898,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,18,20,22,23,24,25,26",yes,95 - nothing there,106,SB1 from Gaia,,Spectroscopic Binary,Collaboration+2023 [2023A&A...674A..34G]
42428568,42428568,-,2458475.69,0.39174843,0.0052972436,2459224.322,0.3060124,0.0048009553,96.29346696,-3.766571869,6,33,1475.69,0.00056,748.632,0.00116,0.39175,0.05482,5297,41.07723,18.46309,"1,2,3,4,5,6,7,8,9,10,11,12,13,17,23,24,25,26",yes,-,"110,111","CORALIE (2): RV difference is 360 m/s in one week the RV error is about 80 m/s, likely binary star",,Star,Buder+2021 [2021MNRAS.506..150B]
52195587,52195587,-,2458350.278,0.3428814554,0.00519340558,2459107.612,0.3406249713,0.004926157617,19.24833899,-66.16364105,1,29,1350.278,0.00027,757.334,0.00088,0.34288,0.01049,5193,19.69963,9.70964,"1,2,3,4,5,6,8,10,11,12",yes,"95,96 - maybe in 95? Sam check?",-,"WINE (FEROS 21), we have 9 CORALIE",,,
61760996,61760996,-,2458576.117,0.52960986,0.0072689652,2459331.005,0.5010789,0.008299351,177.0907889,-47.02068462,10,37,1576.117,0.00092,754.888,0.00132,0.52961,0.10064,7269,38.53774,12.69114,"1,2,3,4,5,6,7,8,12,13,14,15,16,24",yes,-,"100,101,111,112,113,114","no RVs, large centroid shift during the transit > FP?",,,
67599025,67599025,-,2458404.028,0.12480073,0.0076516867,2459138.825,0.1358673,0.0076302686,17.69268173,-31.50549356,3,30,1404.028,0.00026,734.797,0.00034,0.1248,0.01978,7652,25.64378,6.86574,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31",yes,-,"104,106,107",WINE (FEROS 35 from 2020 to 2023),,,
71028120,71028120,-,2458445.866,0.14199898,0.001283884,2459189.955,0.20965792,0.0010778109,66.12741053,-11.98354302,5,32,1445.866,0.00031,744.089,0.00077,0.142,0.01092,1284,4.89114,4.59889,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28",yes,-,"98,109",,,High Proper Motion Star,"Siebert+2011 [2011AJ....141..187S],Boeche+2011 [2011AJ....142..193B],Coşkunoǧlu+2012 [2012MNRAS.419.2844C],Kordopatis+2013 [2013AJ....146..134K],Francis+2013 [2013MNRAS.436.1343F],Munari+2014 [2014AJ....148...81M],Kunder+2017 [2017AJ....153...75K],Steinmetz+2020 [2020AJ....160...83S],Järvinen+2025 [2025A&A...698A..93J]"
71272316,71272316,-,2459070.725,0.08676289,0.0063369274,2460175.967,0.105793186,0.0063734055,330.1327946,-44.71586765,28,68,2070.725,0.00034,1105.242,0.00069,0.08676,0.04101,6337,70.02135,8.5827,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,78",yes,-,"105,106",,,Star,
71316629,71316629,-,2458344.048,0.1135498104,0.02061273506,2459077.304,0.09026734457,0.02676110495,330.8381029,-43.74196292,1,28,1344.048,0.00023,733.256,0.00028,0.11355,0.04458,20613,123.53434,17.21225,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26",yes,95 - much shallower transit?,"105,106",,,,
77465954,77465954,-,2458630.185,0.24637261,0.00782156,2459337.088,0.11607017,0.0039209523,238.938715,-29.78659702,12,37,1630.185,0.00038,706.903,0.00046,0.24637,0.0443,7822,42.47245,13.97556,,no,91 - nothing there,"115,116",,,,
107113345,107113345,-,2458576.334,0.1923165369,0.00227545153,2459317.299,0.09514047402,0.002114618932,183.0341034,-32.66283108,10,37,1576.334,0.00042,740.965,0.00047,0.19232,0.02782,2275,15.66661,6.68057,,yes,90 - another transit?,"101,114",,,Star,"Kordopatis+2013 [2013AJ....146..134K],Kunder+2017 [2017AJ....153...75K],Steinmetz+2020 [2020AJ....160...83S]"
118339710,118339710,-,2458525.646,0.3978936449,0.004337083823,2459249.547,0.3824385339,0.003083043331,129.5720399,-23.55022929,8,34,1525.646,0.00028,723.901,0.00043,0.39789,0.04339,4337,13.3605,11.11819,,yes,-,"109,110,111,112",,,Star,"Buder+2018 [2018MNRAS.478.4513B],Buder+2021 [2021MNRAS.506..150B],Clark+2022 [2022MNRAS.510.2041C],Perdelwitz+2024 [2024A&A...683A.125P],Eberhardt+2025 [2025AJ....169..298E]"
121077168,121077168,-,2458429.001,0.2180304297,0.02316979719,2459155.248,0.2087852714,0.02262983534,56.50896625,-19.0509837,4,31,1429.001,0.00022,726.247,0.00048,0.21803,0.01958,23170,133.00851,13.82116,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28",yes,-,"106,107,108,109",,,,
